标题,标题链接,bd,数量,编号,inq
让子弹飞,https://movie.douban.com/subject/3742360/,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部
                        ",9.0,1724307人评价,你给我翻译翻译，神马叫做TMD的惊喜。
猫鼠游戏,https://movie.douban.com/subject/1305487/,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
                            2002 / 美国 加拿大 / 传记 犯罪 剧情
                        ",9.1,1046556人评价,骗子大师和执著警探的你追我跑故事。 
天空之城,https://movie.douban.com/subject/1291583/,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
                            1986 / 日本 / 动画 奇幻 冒险
                        ",9.2,889857人评价,对天空的追逐，永不停止。 
鬼子来了,https://movie.douban.com/subject/1291858/,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000 / 中国大陆 / 剧情 喜剧
                        ",9.3,636428人评价,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
                            2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险
                        ",9.1,1366107人评价,瑰丽壮观、无人能及的冒险之旅。
海蒂和爷爷,https://movie.douban.com/subject/25958717/,"
                            导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...
                            2015 / 德国 瑞士 / 剧情 冒险 家庭
                        ",9.3,632494人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
钢琴家,https://movie.douban.com/subject/1296736/,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 英国 法国 波兰 德国 / 剧情 传记 战争 音乐
                        ",9.3,653322人评价,音乐能化解仇恨。
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        ",9.0,1237476人评价,旷古烁今。
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",9.2,765504人评价,承前启后的史诗篇章。
闻香识女人,https://movie.douban.com/subject/1298624/,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情
                        ",9.1,901791人评价,史上最美的探戈。
死亡诗社,https://movie.douban.com/subject/1291548/,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情
                        ",9.2,741685人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书,https://movie.douban.com/subject/27060077/,"
                            导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...
                            2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐
                        ",8.9,1675740人评价,去除成见，需要勇气。
罗马假日,https://movie.douban.com/subject/1293839/,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情
                        ",9.1,961994人评价,爱情哪怕只有一天。
大闹天宫,https://movie.douban.com/subject/1418019/,"
                            导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装
                        ",9.4,446148人评价,经典之作，历久弥新。
天堂电影院,https://movie.douban.com/subject/1291828/,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...
                            1988 / 意大利 法国 / 剧情 爱情
                        ",9.2,686263人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
指环王1：护戒使者,https://movie.douban.com/subject/1291571/,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ",9.1,860255人评价,传说的开始。
黑客帝国,https://movie.douban.com/subject/1291843/,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 / 动作 科幻
                        ",9.1,849508人评价,视觉革命。
教父2,https://movie.douban.com/subject/1299131/,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪
                        ",9.3,562123人评价,优雅的孤独。
狮子王,https://movie.douban.com/subject/1301753/,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 动画 冒险 歌舞
                        ",9.1,856418人评价,动物版《哈姆雷特》。
辩护人,https://movie.douban.com/subject/21937445/,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...
                            2013 / 韩国 / 剧情
                        ",9.2,595925人评价,电影的现实意义大过电影本身。
饮食男女,https://movie.douban.com/subject/1291818/,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
                            1994 / 中国台湾 美国 / 剧情 家庭
                        ",9.2,631212人评价,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部,https://movie.douban.com/subject/1292000/,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999 / 美国 / 剧情 动作 悬疑 惊悚
                        ",9.0,858225人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
