code,name,spec,trademark,addr,units,factory_name,trade_price,retail_price,updateAt,wholeunit,wholenum,img,src
6938377101447,米线,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938377101577,过桥米线,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938377101591,过桥米线,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938377101706,米线,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938379941119,弹力素,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938395600335,腰果,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938395654376,120克红木瓜,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938397941119,弹力素,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938415684659,休闲男袜,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938419500047,酒鬼花生,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938419500054,花生,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938435500014,酥打饼,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938435500021,酥打饼,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938435500052,高钙苏打,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938457920104,爹地宝贝,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938457920128,爹地宝贝,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493661306,银梭毛巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493668886,银梭6888,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493671824,浴巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493672623,毛巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493673231,毛巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493673279,毛巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493676263,毛巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493677161,佳加利7716,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493677666,浴巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493688112,小牛8811,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493688129,小牛8812,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493688136,小牛8813,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938493688167,小牛8816,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938497410979,口杯,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938541200129,圣蜂牙膏,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938541200365,圣蜂超清牙膏,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938579311224,经典长城,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938580000070,益母草护垫,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938580003514,妇炎洁,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938618710452,600G青岛生威,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938618710599,果啤,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938618710674,青岛生威,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938618710735,青岛生威,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938618711367,果啤,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938618711374,啤酒,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938629137637,戴姿婷,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938635901185,饺子,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938635901314,合味嘉水饺,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938635901994,喜相缘,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938655066444,利发杯(小),,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938655066468,精品办公杯,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938655066475,保温杯,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938655066505,精品杯,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938655066611,利发杯(大),,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938679589349,红芳枕巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938716169848,竹碳内衣,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938718813886,鑫来衣架,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938722233083,袋鼠,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938722235230,袋鼠,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938728400168,鸡腿,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938758781275,水晶杯,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938764180017,小方巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938764581067,毛巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938771500196,明仕桃汁,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938771500211,明仕蜜桃汁,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938791300518,鸡肉肠,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
