orderID,barcode,categoryID,name,pricePer,retailPrice,tradePrice,unitID,count
154243660194913095024,6901028191012,1,白沙包装,6.5,6.5,3.81,8,4
154243659481522154336,6931273213559,10,和成天下槟榔运当头8g,15,15,12,8,1
15424365972198145579,6943345407452,1,牛尾巴,2.5,2.5,0,4,1
154243661423723233087,6901028063876,21,芙蓉王蓝新版包装,35,35,30,8,1
154243659992622333540,6901028193498,21,芙蓉王包装,25,25,21.83,8,1
15424366002968674803,6970986730960,1,优质棉拖,15,15,8,18,1
15424366002968674803,6925121288257,1,完美之星棉拖,16,16,8.5,4,1
15424366002968674803,6901028193856,21,蓝芙蓉王,35,35,31,4,5
15424366002968674803,6925909980151,1,张新发槟榔,18,18,16,4,3
15424366002968674803,99999999-1,1,无码商品,30,30,0,0,1
154243659884922259282,6901028193498,21,芙蓉王包装,25,25,21.83,8,1
15424366036466978609,99999999-1,1,无码商品,2,2,0,0,1
15424366036466978609,99999999-2,1,无码商品,18,18,0,0,1
154243660426321986769,6907992100272,11,伊利纯牛奶50ml,3,3,0,3,1
15424366067716903897,6951027300083,1,馋大嘴巴盐焗素鸡筋70g,1.5,1.5,1.05,8,1
15424366067716903897,6933311068183,1,傻二哥多味花生酱汁牛肉味 68g,2.5,2.5,1.6,8,1
15424366067716903897,6924874720076,1,蒲议蛋苕酥300g,10,10,8,8,1
154243660746622624163,6901533121443,10,万事发凤梨果酱夹心00g,3,3,2.5,8,1
154243660746622624163,6935041525066,10,旺仔小馒头原味蜂蜜16g,1,1,0.75,8,8
154243660746622624163,8888013,381,面粉,5,5,3.8,17,1
154243662116022284808,99999999-1,1,无码商品,57,57,0,0,1
154243661951216378806,6925814870097,1,九总二十元,18,18,0,4,1
154243662038416605596,99999999-1,1,无码商品,9,9,0,0,1
154243662442010092323,6922577726234,1,浓缩酸奶壶士味,5,5,4,8,1
15424366205768677669,6901028189613,1,黄鹤楼烟,30,30,23,0,1
154243662908323589759,6901028201179,21,白沙白细支包装,22,22,18.55,8,3
154243662279019822361,6901028004046,21,双喜01包装,15,15,12.93,8,2
15424366243206854714,6937350205127,1,家乡人正宗重庆酸辣粉115g,4.5,4.5,0,14,1
15424366243206854714,6925303773106,1,来一桶老坛酸菜牛肉面120g,4,4,0,14,1
15424366243206854714,6950038602162,1,玉晶泉黄酒,3.5,3.5,0,2,1
15424366335037006991,6933364808033,10,旺家婆原味土鸡爪50g,4.5,4.5,3.2,8,2
15424366335037006991,6925303723934,1,统一绿茶茉莉味调味茶饮料1升,4,4,2.3,2,1
154243664917123473698,6923644223458,1,蒙牛纯牛奶250ml,3,3,0,0,1
154243664917123473698,6926372510302,1,森林兔葱油酥饼,6,6,0,0,1
154243664169214989181,6934290901690,1,金梅姜丝5g,5,5,3.5,8,1
154243664169214989181,6901028191043,1,白沙品包装,9,9,7.63,8,1
154243664074924273411,6901028079952,21,钻石(荷花)【包装】,35,35,31.5,8,2
15424366460925807971,6901028000642,1,盒装经典双喜（440237）,12,12,0,0,1
154243661577423146953,6901028193498,21,芙蓉王包装,25,25,22.6,8,1
15424366507047243116,6923450657935,1,益达木糖醇无糖口香糖沁香蓝莓味56g,10,10,8,2,1
154243665173817444444,99999999-1,1,无码商品,5,5,0,0,1
154243665755112471430,99999999-1,1,无码商品,12,12,0,0,1
154243666025111483591,6903148170496,1,玉兰油美白滋润沐浴乳400ML,25,25,0,2,1
154243666025111483591,99999999-1,1,无码商品,18,18,0,0,1
154243666025111483591,6931008484308,1,加减120g冰糖杨梅,6,6,0,8,1
154243666009018029117,6901028126731,21,王冠象包装,20,20,15,8,1
15424366791753897488,4891028165279,1,维他巧克力豆奶250ml,3,3,2.1,2,1
154243665457317532844,6901028071765,1,8MG金中南海,7.5,7.5,5.73,8,2
154243666288724272354,6952813400031,10,食用青果槟榔(一品口味王爵爷）40g,15,15,12.5,8,1
154243666994112266865,6901028046886,1,云烟包装,10,10,9,8,1
154243666994112266865,6901028137508,1,七匹狼包装,15,15,13.25,8,1
154243667047723252918,99999999-1,1,无码商品,13,13,0,0,1
15424366834413892753,6902538004045,1,脉动青柠味,4,4,3.07,2,1
15424366744016017473,6901028000826,1,红双喜（软经典）,10,10,8.6,8,1
15424366883792773156,6901028000826,21,软经典,11,11,9.47,4,1
15424366883792773156,6921294305012,1,胶康师傅冰红茶,3,3,2.15,4,1
15424366787608149578,6943345407452,1,牛尾巴,2.5,2.5,0,4,1
15424366787608149578,6927462219525,1,金锣鸡肉火腿肠60g,2,2,0,4,1
15424366787608149578,6946995500801,1,福佳香唱片面包102g,3,3,0,8,1
15424366788156736634,6901028193498,1,芙蓉王（单盒）,25,25,22.5,8,1
15424366805358735664,6925909980151,1,张新发槟榔5g,18,18,15.58,8,1
15424366821529357395,6901028191043,1,白沙品包装,10,10,7.63,8,1
15424366528057047432,6907878033014,1,可口可乐 330ml,3,3,1.8,6,1
154243665645923141232,6901028192729,1,白沙精品三代包装,15,15,0,0,1
15424366927247405675,6901028191043,1,白沙(精品),10,10,7.65,8,1
15424366927247405675,6901028193498,1,芙蓉王(硬),25,25,21.86,8,1
15424366927247405675,6903622798932,1,邵阳大曲125mL,4,4,2.97,2,1
15424366951717222877,6901285991219,1,怡宝饮用纯净水555毫升,2,2,1.04,4,1
154243669556515493449,6901028063364,1,白沙新精品二代包装,10,10,8.8,8,1
154243669556515493449,6901028000826,1,双喜经典包装,10,10,8.58,8,1
154243669544319384562,6901028118811,21,特制长嘴利群,22,22,19.08,0,1
154243670231314196290,01,1,德芙巧克力,2,2,0,4,1
15424367709423331762,6907992100012,1,伊利优酸乳草莓味 250ml,2,2,1.8,4,2
154243664352822264007,6958214681888,10,15元松子食用槟榔,15,15,12,8,1
154243664352822264007,6901028193498,21,芙蓉王包装,25,25,22,8,1
